State,County_Name,2005_Poverty_All_Ages,2005_Poverty_Percent_All_Ages,2005_Poverty_Under18,2005_Poverty_Percent_Under18,2005_Median_HH_Income
TX,Briscoe County,310,18.9,139,32.7,"30,640"
TX,Brooks County,"2,707",35.6,"1,120",49.3,"21,398"
TX,Brown County,"7,344",20.3,"2,600",29.2,"33,990"
TX,Burleson County,"3,268",19.1,"1,103",25.9,"36,117"
TX,Burnet County,"4,599",11.4,"1,801",20,"43,781"
TX,Caldwell County,"6,585",19,"2,502",26.4,"38,996"
TX,Calhoun County,"3,601",17.7,"1,423",25.5,"38,860"
TX,Callahan County,"1,846",13.8,648,21.1,"35,516"
TX,Cameron County,"148,927",40,"66,043",52.3,"25,916"
TX,Camp County,"2,357",19.6,937,28.3,"33,319"
TX,Carson County,579,8.9,202,12.3,"41,245"
TX,Cass County,"5,664",19.2,"1,913",28.2,"32,156"
TX,Castro County,"1,671",22.1,775,33.1,"34,170"
TX,Chambers County,"3,206",11.4,"1,133",15.9,"53,961"
TX,Cherokee County,"8,113",17.8,"3,395",27.1,"33,172"
TX,Childress County,"1,451",25.3,551,36.3,"29,860"
TX,Clay County,"1,177",10.6,369,15.3,"41,560"
TX,Cochran County,865,27,369,40.4,"30,193"
TX,Coke County,485,14.7,163,23.6,"30,657"
TX,Coleman County,"2,036",24.1,700,35.7,"27,187"
TX,Collin County,"38,642",5.9,"12,963",7.2,"71,419"
TX,Collingsworth County,568,19.6,255,34.4,"29,047"
TX,Colorado County,"3,455",17.5,"1,170",24.3,"35,111"
TX,Comal County,"8,936",9.5,"3,133",14,"53,643"
TX,Comanche County,"2,658",20,985,30.2,"30,578"
TX,Concho County,495,20.9,126,23.5,"32,122"
TX,Cooke County,"5,338",14.1,"2,040",21,"42,857"
TX,Coryell County,"8,669",14.8,"3,344",17.4,"39,129"
TX,Cottle County,358,21,132,35.6,"28,011"
TX,Crane County,475,12.6,173,15.8,"39,492"
TX,Crockett County,703,18.2,233,23.8,"33,903"
TX,Crosby County,"1,948",29.7,850,43.8,"29,560"
TX,Culberson County,684,26.2,296,38.2,"26,228"
TX,Dallam County,"1,001",16.4,435,23.4,"29,177"
TX,Dallas County,"381,322",16.9,"152,672",23.6,"42,791"
TX,Dawson County,"3,069",25.7,"1,183",34.8,"29,309"
TX,Deaf Smith County,"3,935",21.6,"1,876",31.3,"30,719"
TX,Delta County,840,15.7,314,24.9,"33,043"
TX,Denton County,"39,496",7.3,"11,845",8.1,"61,825"
TX,DeWitt County,"3,641",19.5,"1,248",27.7,"31,711"
TX,Dickens County,462,21.8,122,26.7,"26,645"
TX,Dimmit County,"3,263",31.8,"1,377",43.2,"24,260"
TX,Donley County,680,19,227,28.3,"30,561"
TX,Duval County,"3,618",30.6,"1,329",39.9,"25,715"
TX,Eastland County,"3,651",20.9,"1,293",31.8,"30,481"
TX,Ector County,"24,631",20,"11,187",30.5,"35,597"
TX,Edwards County,561,28.8,224,42.9,"27,942"
TX,Ellis County,"13,272",10.1,"5,284",14.6,"51,657"
TX,El Paso County,"204,588",29,"87,983",39.4,"31,340"
TX,Erath County,"5,315",16.7,"1,588",20.5,"35,112"
TX,Falls County,"3,685",23.7,"1,409",33.9,"28,332"
TX,Fannin County,"4,355",14.7,"1,493",20.9,"37,549"
TX,Fayette County,"2,575",11.7,837,17.1,"39,723"
TX,Fisher County,671,16.7,216,24.9,"30,936"
TX,Floyd County,"1,635",23.3,725,34.6,"28,223"
TX,Foard County,263,17.7,97,26.9,"25,535"
TX,Fort Bend County,"37,058",8.1,"13,811",10.9,"70,202"
TX,Franklin County,"1,477",14.7,510,23,"36,789"
TX,Freestone County,"2,775",16.1,931,22.7,"36,686"
TX,Frio County,"4,817",33.9,"1,894",43.3,"26,690"
TX,Gaines County,"2,787",19.1,"1,328",28.2,"35,354"
TX,Galveston County,"36,325",13.3,"12,463",17.7,"46,012"
TX,Garza County,"1,059",23.8,445,34.8,"30,880"
TX,Gillespie County,"2,301",10.3,731,16.2,"41,985"
TX,Glasscock County,129,9.7,53,13.9,"42,566"
TX,Goliad County,"1,172",16.8,381,23.8,"38,218"
TX,Gonzales County,"3,859",20.1,"1,559",29.9,"31,070"
TX,Gray County,"3,157",16,944,19.4,"33,482"
TX,Grayson County,"15,328",13.5,"5,197",18.6,"39,655"
TX,Gregg County,"19,980",17.9,"8,147",27.1,"37,436"
TX,Grimes County,"3,986",17.7,"1,361",23.6,"36,117"
TX,Guadalupe County,"11,026",10.9,"3,962",15.3,"49,127"
TX,Hale County,"7,010",20.8,"2,948",27.5,"31,371"
TX,Hall County,906,24.9,405,41.2,"26,933"
TX,Hamilton County,"1,244",15.9,470,25.8,"33,179"
TX,Hansford County,800,15.6,314,21.4,"36,216"
TX,Hardeman County,791,18.8,283,29,"30,507"
TX,Hardin County,"5,779",11.5,"2,082",16.5,"43,511"
TX,Harris County,"650,406",17.9,"272,598",26,"44,085"
TX,Harrison County,"11,352",18.5,"3,810",24.4,"36,807"
TX,Hartley County,366,9.1,122,10.1,"47,122"
TX,Haskell County,"1,273",23.5,433,36.5,"26,636"
TX,Hays County,"15,057",13.1,"3,532",12.9,"45,060"
TX,Hemphill County,306,9.3,94,11.4,"43,986"
TX,Henderson County,"14,275",18.2,"5,155",28.1,"33,993"
TX,Hidalgo County,"272,368",40.7,"121,174",51.3,"24,808"
TX,Hill County,"6,264",18.2,"2,331",27.1,"34,163"
TX,Hockley County,"3,765",17.1,"1,555",25.3,"36,987"
TX,Hood County,"5,945",12.6,"2,195",21.5,"47,435"
TX,Hopkins County,"5,624",17.2,"2,177",26.5,"35,176"
TX,Houston County,"5,463",27.1,"1,787",37.2,"30,146"
TX,Howard County,"6,205",22.5,"2,294",30.6,"33,619"
TX,Hudspeth County,"1,041",32,472,46.7,"23,426"
TX,Hunt County,"12,620",15.8,"4,652",22.9,"40,796"
TX,Hutchinson County,"2,967",13.4,"1,027",17.8,"39,118"
TX,Irion County,162,9.2,54,14.2,"40,709"
TX,Jack County,"1,152",14.5,344,17.7,"36,159"
TX,Jackson County,"2,177",15.5,838,23.1,"38,117"
TX,Jasper County,"6,561",19,"2,549",28.6,"32,833"
TX,Jeff Davis County,294,13.1,94,22.2,"37,417"
TX,Jefferson County,"45,305",19.7,"17,870",29.3,"36,226"
TX,Jim Hogg County,"1,291",26,491,34.9,"28,007"
TX,Jim Wells County,"9,983",24.7,"3,953",34,"30,722"
TX,Johnson County,"17,644",12.3,"6,772",17.8,"45,407"
TX,Jones County,"3,255",22.2,"1,079",29.6,"33,537"
TX,Karnes County,"3,265",27.8,"1,052",34,"28,674"
TX,Kaufman County,"9,386",10.7,"3,617",15.5,"49,996"
TX,Kendall County,"2,526",9,867,12.8,"58,843"
TX,Kenedy County,69,16.8,28,26.4,"27,326"
TX,Kent County,82,11.1,22,15.8,"31,335"
TX,Kerr County,"6,427",14.5,"2,482",25.7,"38,276"
TX,Kimble County,841,18.5,316,31.6,"31,185"
TX,King County,34,13.5,12,15.6,"41,738"
TX,Kinney County,755,22.9,243,32.5,"31,638"
TX,Kleberg County,"7,453",25.3,"2,458",31,"32,680"
TX,Knox County,958,26.1,372,37.4,"27,865"
TX,Lamar County,"9,166",19,"3,378",27.2,"34,076"
TX,Lamb County,"2,909",20.6,"1,178",29.9,"32,514"
TX,Lampasas County,"3,381",17.6,"1,284",27.5,"38,834"
TX,La Salle County,"1,643",30.6,670,41.7,"25,019"
TX,Lavaca County,"2,618",14.2,812,18.9,"34,685"
TX,Lee County,"1,996",12.6,766,18.5,"39,549"
TX,Leon County,"2,385",14.7,801,22.2,"35,070"
TX,Liberty County,"12,863",18.4,"5,125",26.5,"37,428"
TX,Limestone County,"4,236",20.3,"1,538",28.2,"32,287"
TX,Lipscomb County,452,14.9,169,21.3,"36,491"
TX,Live Oak County,"2,193",21.8,617,26.7,"34,279"
TX,Llano County,"2,225",12.4,700,23.9,"38,393"
TX,Loving County,16,25.2,5,36.4,"40,785"
TX,Lubbock County,"46,751",19.4,"15,315",24.7,"35,150"
TX,Lynn County,"1,310",21.2,566,31.9,"31,207"
TX,McCulloch County,"1,804",23.1,698,35.3,"28,944"
TX,McLennan County,"40,400",18.9,"13,684",24.1,"36,171"
TX,McMullen County,128,14.5,35,22,"36,046"
TX,Madison County,"2,218",21.6,710,26.4,"31,411"
TX,Marion County,"2,466",22.8,866,37.5,"27,683"
TX,Martin County,829,19.3,393,28.8,"37,009"
TX,Mason County,530,13.8,177,23.5,"34,754"
TX,Matagorda County,"7,925",21.3,"3,028",28.9,"33,975"
TX,Maverick County,"15,033",29.5,"6,985",39.2,"24,736"
TX,Medina County,"7,120",17.4,"2,752",24.8,"39,142"
TX,Menard County,562,26,170,40.7,"27,013"
TX,Midland County,"17,809",14.9,"7,372",21.9,"42,132"
TX,Milam County,"4,528",18.3,"1,722",26.8,"34,372"
TX,Mills County,717,14.7,326,30.6,"32,984"
TX,Mitchell County,"1,707",25.7,517,30,"28,237"
TX,Montague County,"2,705",14.1,960,21.4,"35,383"
TX,Montgomery County,"41,153",11,"15,434",15.4,"59,210"
TX,Moore County,"2,815",14,"1,340",19.9,"37,412"
TX,Morris County,"2,606",20.5,899,29.7,"31,954"
TX,Motley County,246,19,90,31.7,"29,752"
TX,Nacogdoches County,"11,568",20.7,"3,389",24,"31,057"
