State,County_Name,2005_Poverty_All_Ages,2005_Poverty_Percent_All_Ages,2005_Poverty_Under18,2005_Poverty_Percent_Under18,2005_Median_HH_Income
VA,King William County,994,6.8,341,9.5,"58,493"
VA,Lancaster County,"1,518",13.6,454,22.4,"38,155"
VA,Lee County,"6,163",26.4,"1,785",35.3,"25,626"
VA,Loudoun County,"6,966",2.7,"2,090",2.8,"98,245"
VA,Louisa County,"3,364",11.3,"1,022",15.5,"44,788"
VA,Lunenburg County,"2,718",22.8,760,30.1,"30,802"
VA,Madison County,"1,293",9.8,424,14.4,"43,604"
VA,Mathews County,735,8.1,221,13.4,"50,550"
VA,Mecklenburg County,"5,062",16.4,"1,630",24.4,"31,785"
VA,Middlesex County,"1,354",13.3,392,21.9,"42,016"
VA,Montgomery County,"15,671",20.9,"1,934",14.7,"36,853"
VA,Nelson County,"1,770",11.9,504,16.7,"40,173"
VA,New Kent County,821,5.2,280,8.1,"61,107"
VA,Northampton County,"2,614",19.9,853,28.5,"32,096"
VA,Northumberland County,"1,591",12.4,506,22.9,"41,903"
VA,Nottoway County,"2,703",19.4,873,26.3,"35,507"
VA,Orange County,"2,490",8.4,825,12.9,"49,119"
VA,Page County,"3,116",13.3,997,19.5,"38,549"
VA,Patrick County,"3,039",16.1,859,22.7,"31,719"
VA,Pittsylvania County,"8,779",14.3,"2,542",19,"37,874"
VA,Powhatan County,"1,404",5.9,392,6.9,"63,833"
VA,Prince Edward County,"3,653",22.2,"1,000",26,"32,631"
VA,Prince George County,"2,706",9.2,816,10.3,"55,476"
VA,Prince William County,"17,235",5,"7,148",7,"81,022"
VA,Pulaski County,"5,295",15.7,"1,456",21.3,"35,014"
VA,Rappahannock County,515,7.1,149,10.2,"52,195"
VA,Richmond County,"1,219",17,305,21.3,"35,825"
VA,Roanoke County,"5,031",5.9,"1,410",7.5,"53,229"
VA,Rockbridge County,"2,066",9.8,555,12.8,"40,335"
VA,Rockingham County,"5,570",8,"1,761",10.7,"47,654"
VA,Russell County,"5,492",19.3,"1,596",26.7,"29,865"
VA,Scott County,"4,040",17.9,"1,075",24.3,"30,479"
VA,Shenandoah County,"3,235",8.4,"1,094",13.1,"43,541"
VA,Smyth County,"4,166",13.3,"1,295",19,"34,286"
VA,Southampton County,"2,433",15.1,701,19.4,"40,508"
VA,Spotsylvania County,"6,346",5.5,"2,365",7.5,"68,615"
VA,Stafford County,"5,366",4.6,"1,758",5.3,"78,862"
VA,Surry County,829,11.9,262,16.7,"39,987"
VA,Sussex County,"1,832",19.5,534,24.5,"33,866"
VA,Tazewell County,"7,559",17.3,"2,139",23.7,"31,710"
VA,Warren County,"3,399",9.8,"1,095",12.7,"48,543"
VA,Washington County,"5,561",11,"1,690",16.5,"39,169"
VA,Westmoreland County,"2,736",16,891,24.5,"37,797"
VA,Wise County,"9,005",23.3,"2,706",30.6,"29,854"
VA,Wythe County,"3,825",13.7,"1,167",19.7,"34,698"
VA,York County,"2,567",4.2,746,4.9,"70,743"
VA,Alexandria city,"10,320",7.7,"3,557",13.6,"64,749"
VA,Bedford city,"1,134",20.3,367,27.3,"32,143"
VA,Bristol city,"2,999",18.2,968,28.8,"30,239"
VA,Buena Vista city,840,14.2,243,18.2,"39,018"
VA,Charlottesville city,"9,101",23.7,"1,605",24,"33,041"
VA,Chesapeake city,"14,571",6.8,"5,357",9.3,"60,301"
VA,Colonial Heights city,"1,243",7.2,389,10.2,"46,745"
VA,Covington city,820,13.4,286,21.5,"35,363"
VA,Danville city,"10,779",24.3,"3,628",35.1,"29,544"
VA,Emporia city,980,18.5,378,27.6,"31,958"
VA,Fairfax city,"1,115",5.2,262,5.9,"79,255"
VA,Falls Church city,314,2.9,66,2.8,"85,381"
VA,Franklin city,"1,668",20.1,654,30.3,"33,778"
VA,Fredericksburg city,"3,050",17,871,20.8,"38,314"
VA,Galax city,"1,349",20.7,456,29.5,"30,662"
VA,Hampton city,"17,885",13.4,"6,926",20.3,"44,276"
VA,Harrisonburg city,"8,989",26.9,"1,202",19.2,"32,956"
VA,Hopewell city,"3,715",16.6,"1,611",26.6,"36,005"
VA,Lexington city,914,20.3,78,12.6,"34,307"
VA,Lynchburg city,"11,145",19.2,"3,540",25.4,"35,213"
VA,Manassas city,"2,461",6.8,"1,017",9.2,"64,561"
VA,Manassas Park city,705,6.1,319,8.7,"64,136"
VA,Martinsville city,"2,994",21.1,983,30.7,"29,090"
VA,Newport News city,"24,948",14.2,"10,934",21.2,"43,938"
VA,Norfolk city,"38,857",18.9,"16,042",27.5,"36,335"
VA,Norton city,801,22.1,252,32.6,"27,343"
VA,Petersburg city,"6,854",21.8,"2,519",30.8,"30,942"
VA,Poquoson city,535,4.6,135,5.3,"71,435"
VA,Portsmouth city,"16,256",17.2,"7,067",27.3,"39,166"
VA,Radford city,"3,357",28.2,245,15.5,"28,201"
VA,Richmond city,"35,775",19.9,"12,857",29.7,"34,352"
VA,Roanoke city,"15,465",17.2,"5,575",25.7,"33,501"
VA,Salem city,"1,778",7.8,480,10.1,"42,181"
VA,Staunton city,"2,934",13.7,948,20.9,"37,372"
VA,Suffolk city,"9,199",11.9,"3,335",16.3,"53,548"
VA,Virginia Beach city,"31,958",7.4,"12,423",10.8,"58,238"
VA,Waynesboro city,"2,806",13.4,"1,108",21.8,"37,357"
VA,Williamsburg city,"1,643",22.7,322,24.5,"38,454"
VA,Winchester city,"3,008",12.4,963,17.3,"39,935"
WA,Washington,"732,049",12,"224,621",15.5,"49,372"
WA,Adams County,"3,015",18.3,"1,423",26.9,"36,429"
WA,Asotin County,"3,652",17.6,"1,301",27.6,"36,096"
WA,Benton County,"17,355",11.1,"6,269",15.4,"52,683"
WA,Chelan County,"9,491",13.9,"3,377",19.7,"40,132"
WA,Clallam County,"8,714",12.8,"2,625",20.3,"42,280"
WA,Clark County,"45,893",11.5,"16,148",15.7,"51,124"
WA,Columbia County,547,13.6,167,21.2,"36,599"
WA,Cowlitz County,"14,302",15,"4,837",21.1,"42,592"
WA,Douglas County,"5,225",15.1,"2,029",22.8,"43,372"
WA,Ferry County,"1,461",20,485,31.6,"33,124"
WA,Franklin County,"10,987",17.8,"5,011",25.5,"41,434"
WA,Garfield County,328,14.3,93,20.9,"36,992"
WA,Grant County,"13,789",17.3,"5,847",24.8,"38,627"
WA,Grays Harbor County,"11,657",17.2,"3,744",24.5,"37,538"
WA,Island County,"6,217",8,"1,987",11.4,"47,708"
WA,Jefferson County,"3,235",11.5,904,19.2,"42,408"
WA,King County,"167,720",9.6,"41,800",11.2,"58,351"
WA,Kitsap County,"20,797",9,"6,046",10.7,"53,127"
WA,Kittitas County,"7,306",21.7,"1,064",16.9,"36,634"
WA,Klickitat County,"3,404",17.4,"1,163",25.6,"38,617"
WA,Lewis County,"11,556",16.3,"3,707",22.6,"40,600"
WA,Lincoln County,"1,287",12.6,383,18.1,"38,685"
WA,Mason County,"7,574",14.5,"2,208",20.1,"42,699"
WA,Okanogan County,"8,434",21.8,"2,751",29.7,"32,052"
WA,Pacific County,"3,350",15.8,"1,030",26.1,"35,390"
WA,Pend Oreille County,"2,342",18.7,742,28.2,"32,794"
WA,Pierce County,"82,450",11.3,"25,203",13.6,"49,636"
WA,San Juan County,"1,386",9.2,351,14.7,"47,847"
WA,Skagit County,"14,763",13.3,"5,127",19.9,"48,118"
WA,Skamania County,"1,177",11.1,421,17.8,"43,206"
WA,Snohomish County,"56,782",8.8,"17,877",11.1,"54,897"
WA,Spokane County,"61,966",14.6,"19,143",19,"41,584"
WA,Stevens County,"7,258",17.5,"2,280",23.5,"36,393"
WA,Thurston County,"23,872",10.6,"6,929",13.9,"49,673"
WA,Wahkiakum County,383,10.2,129,17.9,"43,010"
WA,Walla Walla County,"9,716",18.6,"2,804",22.7,"37,726"
WA,Whatcom County,"24,748",13.9,"5,785",15,"44,469"
WA,Whitman County,"9,317",26.6,"1,051",17.2,"31,672"
WA,Yakima County,"48,596",21.5,"20,378",29.8,"35,333"
WV,West Virginia,"317,957",18,"94,901",25.5,"33,466"
WV,Barbour County,"3,333",21.9,"1,007",31.7,"27,660"
WV,Berkeley County,"9,681",10.6,"3,372",15.3,"46,879"
WV,Boone County,"5,038",19.8,"1,558",27.9,"30,412"
WV,Braxton County,"3,343",23.5,"1,083",36.6,"26,963"
WV,Brooke County,"2,797",11.9,790,17.4,"37,051"
WV,Cabell County,"18,155",20.1,"4,805",26.2,"32,510"
WV,Calhoun County,"1,702",23.2,459,34,"25,728"
WV,Clay County,"2,763",27,892,37.4,"25,945"
WV,Doddridge County,"1,434",19.6,433,29,"30,808"
WV,Fayette County,"9,811",22.1,"3,133",33.3,"28,164"
WV,Gilmer County,"1,607",24.8,334,29.8,"26,673"
WV,Grant County,"1,867",16.3,558,23.2,"32,384"
WV,Greenbrier County,"6,021",17.6,"1,709",24.7,"30,750"
WV,Hampshire County,"3,461",16.1,"1,245",25.5,"34,402"
WV,Hancock County,"3,615",11.7,"1,054",17.2,"38,256"
WV,Hardy County,"1,756",13.4,540,18.9,"35,406"
WV,Harrison County,"12,481",18.6,"4,035",27.6,"35,690"
WV,Jackson County,"4,506",16.1,"1,420",23.2,"36,081"
WV,Jefferson County,"4,500",9.4,"1,341",12,"52,442"
WV,Kanawha County,"28,567",15.1,"9,225",23.2,"38,533"
WV,Lewis County,"3,419",20.3,995,28.7,"30,292"
WV,Lincoln County,"5,553",25,"1,772",36.6,"27,247"
WV,Logan County,"8,590",24.2,"2,635",35.5,"27,826"
WV,McDowell County,"9,296",38.9,"2,769",54.7,"18,488"
WV,Marion County,"9,715",17.7,"2,606",23.7,"31,715"
WV,Marshall County,"5,042",15.1,"1,576",22.6,"33,981"
WV,Mason County,"5,073",20,"1,439",26.9,"31,564"
WV,Mercer County,"13,355",22.1,"4,096",33.1,"29,307"
WV,Mineral County,"3,867",14.7,"1,246",21.3,"35,153"
WV,Mingo County,"6,980",25.9,"2,307",37.7,"25,256"
WV,Monongalia County,"17,009",22.1,"2,572",18.3,"32,487"
WV,Monroe County,"2,120",15.8,598,22.2,"31,434"
WV,Morgan County,"1,759",11.1,569,17.3,"40,171"
WV,Nicholas County,"4,863",18.6,"1,508",28.1,"30,569"
WV,Ohio County,"6,391",15.1,"1,893",21.5,"34,199"
WV,Pendleton County,919,12,279,17.5,"34,133"
WV,Pleasants County,973,13.7,285,18.4,"37,511"
WV,Pocahontas County,"1,481",17.4,411,24.6,"30,142"
WV,Preston County,"5,181",17.6,"1,499",24.8,"31,770"
WV,Putnam County,"5,561",10.3,"1,688",13.7,"47,478"
WV,Raleigh County,"13,741",18.3,"4,426",28.3,"31,717"
WV,Randolph County,"4,642",17.3,"1,473",25.6,"31,350"
WV,Ritchie County,"1,764",16.9,525,24,"32,542"
WV,Roane County,"3,268",21.5,"1,007",31.8,"26,663"
WV,Summers County,"3,318",27.3,881,38.8,"23,801"
WV,Taylor County,"3,027",19.3,895,27.5,"31,536"
WV,Tucker County,"1,231",18.1,333,25.8,"29,176"
WV,Tyler County,"1,557",16.9,476,25.8,"33,812"
WV,Upshur County,"4,667",21,"1,385",28.7,"29,770"
WV,Wayne County,"8,528",20.4,"2,659",29.7,"30,796"
WV,Webster County,"2,811",29,848,42.9,"25,196"
WV,Wetzel County,"3,084",18.3,938,25.7,"33,961"
WV,Wirt County,"1,202",20.6,378,30.7,"33,078"
WV,Wood County,"15,425",18.1,"5,177",28,"34,444"
WV,Wyoming County,"6,111",25.2,"1,763",35.3,"26,742"
WI,Wisconsin,"547,648",10.2,"177,768",14,"47,141"
WI,Adams County,"2,372",12.4,743,21.1,"37,434"
WI,Ashland County,"2,341",14.8,713,19,"32,418"
WI,Barron County,"4,722",10.5,"1,484",15.2,"40,501"
WI,Bayfield County,"1,683",11.2,528,17.5,"40,984"
WI,Brown County,"21,471",9.3,"7,110",12.3,"49,100"
WI,Buffalo County,"1,212",8.8,363,12,"42,294"
WI,Burnett County,"1,895",11.7,581,18.6,"38,895"
WI,Calumet County,"2,080",4.8,643,5.8,"59,637"
WI,Chippewa County,"5,237",9.2,"1,792",13.6,"45,062"
WI,Clark County,"4,012",12,"1,542",16.9,"39,593"
WI,Columbia County,"3,327",6.2,904,7.5,"51,652"
WI,Crawford County,"1,866",11.4,614,16.2,"40,175"
WI,Dane County,"49,002",11.1,"10,322",10.7,"53,737"
WI,Dodge County,"5,523",6.7,"1,568",8.4,"50,068"
WI,Door County,"2,027",7.3,551,10.4,"43,720"
WI,Douglas County,"5,321",12.4,"1,716",18.3,"39,420"
WI,Dunn County,"4,624",12,"1,068",12.9,"44,162"
WI,Eau Claire County,"10,585",11.9,"3,027",15.5,"42,167"
WI,Florence County,507,10.4,124,13.3,"38,734"
WI,Fond du Lac County,"7,148",7.6,"2,076",9.5,"48,891"
WI,Forest County,"1,235",12.9,428,19.8,"35,082"
WI,Grant County,"5,639",12.3,"1,368",13.5,"39,896"
WI,Green County,"2,431",7,745,9.2,"47,584"
WI,Green Lake County,"1,379",7.4,492,11.9,"42,599"
WI,Iowa County,"1,573",6.8,491,8.7,"50,338"
WI,Iron County,944,14.5,211,19.7,"34,806"
WI,Jackson County,"1,844",10.1,612,14.7,"41,538"
WI,Jefferson County,"5,306",7,"1,567",8.9,"49,773"
WI,Juneau County,"3,189",12.8,"1,095",19.8,"40,100"
WI,Kenosha County,"14,446",9.3,"5,309",13.1,"52,757"
WI,Kewaunee County,"1,306",6.4,356,7.6,"49,193"
WI,La Crosse County,"13,026",12.6,"2,897",12.8,"43,609"
WI,Lafayette County,"1,360",8.4,508,13.7,"43,413"
WI,Langlade County,"2,396",11.8,732,16.9,"36,299"
WI,Lincoln County,"2,417",8.2,738,11.8,"44,445"
WI,Manitowoc County,"6,631",8.3,"1,825",10.1,"45,762"
WI,Marathon County,"8,653",6.8,"3,095",10.1,"49,992"
WI,Marinette County,"4,133",9.9,"1,156",13.2,"39,789"
WI,Marquette County,"1,477",9.8,483,16.1,"39,571"
WI,Menominee County,"1,181",26.3,619,39.7,"30,839"
WI,Milwaukee County,"164,540",18.4,"65,593",27.9,"38,098"
WI,Monroe County,"4,582",11,"1,838",17.3,"42,396"
WI,Oconto County,"3,219",8.7,902,11.1,"44,670"
WI,Oneida County,"2,947",8.2,818,11.9,"41,454"
WI,Outagamie County,"10,578",6.3,"3,444",8.2,"54,194"
WI,Ozaukee County,"2,836",3.4,700,3.5,"73,447"
WI,Pepin County,652,9,246,14.8,"41,397"
WI,Pierce County,"2,663",7.3,519,6.3,"54,796"
WI,Polk County,"3,211",7.4,"1,004",10.1,"48,022"
WI,Portage County,"7,202",11.3,"1,472",10.6,"47,140"
WI,Price County,"1,384",9.3,386,12.9,"40,193"
WI,Racine County,"19,681",10.4,"7,142",14.9,"50,831"
WI,Richland County,"2,165",12,684,16.9,"38,638"
WI,Rock County,"13,444",8.8,"4,741",12.5,"46,986"
WI,Rusk County,"2,091",14.2,673,20.6,"35,505"
WI,St. Croix County,"3,554",4.7,"1,017",5.4,"65,684"
WI,Sauk County,"4,434",7.8,"1,466",11,"46,500"
WI,Sawyer County,"2,245",13.5,693,19.6,"35,226"
WI,Shawano County,"3,877",9.6,"1,234",13.5,"41,359"
WI,Sheboygan County,"6,848",6.2,"2,231",8.6,"51,325"
WI,Taylor County,"1,917",9.9,594,13,"41,373"
WI,Trempealeau County,"2,555",9.4,798,12.7,"40,977"
WI,Vernon County,"4,494",15.8,"1,818",25.5,"36,892"
WI,Vilas County,"2,000",9.1,623,15.8,"37,651"
WI,Walworth County,"8,459",8.8,"2,032",9.4,"49,030"
WI,Washburn County,"1,836",11.3,578,17.4,"38,987"
WI,Washington County,"6,173",5,"1,659",5.6,"61,282"
WI,Waukesha County,"14,014",3.8,"3,580",4.1,"67,557"
WI,Waupaca County,"3,991",7.9,"1,139",9.7,"45,272"
WI,Waushara County,"2,404",10.3,789,16.4,"40,981"
WI,Winnebago County,"13,894",9.3,"3,337",9.9,"47,103"
WI,Wood County,"6,240",8.5,"1,822",10.9,"44,651"
WY,Wyoming,"52,275",10.6,"15,169",13.6,"45,501"
WY,Albany County,"5,167",18.2,744,14.8,"34,901"
WY,Big Horn County,"1,433",13,483,18,"36,597"
WY,Campbell County,"2,585",7,737,7.9,"60,979"
WY,Carbon County,"1,894",13.1,481,16,"40,114"
WY,Converse County,"1,288",10.2,377,13.5,"47,557"
WY,Crook County,495,8.2,130,10.5,"43,495"
WY,Fremont County,"5,292",14.9,"1,808",21.4,"37,392"
WY,Goshen County,"1,899",16.2,534,21.8,"34,652"
WY,Hot Springs County,504,11.5,118,15.2,"34,905"
WY,Johnson County,698,9.2,174,11.8,"41,933"
WY,Laramie County,"7,894",9.7,"2,341",12,"45,261"
WY,Lincoln County,"1,236",7.8,421,10.8,"48,590"
WY,Natrona County,"7,446",11,"2,521",16.2,"46,715"
WY,Niobrara County,286,13.1,68,16.6,"34,371"
WY,Park County,"2,658",10.3,789,15.4,"41,077"
WY,Platte County,994,11.7,290,16.8,"38,464"
WY,Sheridan County,"2,426",9.1,765,14.2,"40,763"
WY,Sublette County,492,7.2,116,7.9,"52,315"
WY,Sweetwater County,"2,834",7.6,881,9.7,"57,211"
WY,Teton County,"1,144",6.1,227,6.8,"60,314"
WY,Uinta County,"2,046",10.5,723,13.3,"48,557"
WY,Washakie County,971,12.6,291,17.1,"41,584"
WY,Weston County,593,9.4,150,12.4,"40,736"
